127.0.0.1 - - [02/Jul/2020:13:59:24 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:29 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:29 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:29 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:29 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:29 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:29 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:29 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:29 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:29 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:30 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:33 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:33 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:59:33 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:00:10 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=NJTP&filedate=2020-06-24&trxDate=2020-06-16&ViolType=NOR&NumNotice=3&violnumber=1 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:00:49 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:17:46 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:21:29 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:21:57 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:23:02 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:23:31 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=NJTP&filedate=2020-06-19&trxDate=2020-06-16&ViolType=NOR&NumNotice=3&violnumber=1 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:24:15 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:28:59 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:29:32 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:29:56 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:35:20 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:35:48 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=NJTP&filedate=2020-06-16&trxDate=2020-05-31&ViolType=NOR&NumNotice=3&violnumber=1 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:36:38 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:36:56 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:37:15 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:38:00 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [02/Jul/2020:14:38:28 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:12 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
