0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:45:48 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5095
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:45:48 +0530] "GET /WebApp-01/IMG/status159.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:46:41 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4804
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:46:41 +0530] "GET /WebApp-01/IMG/status7.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:47:11 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:48:03 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4884
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:48:03 +0530] "GET /WebApp-01/IMG/status131.png HTTP/1.1" 200 63837
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:50:03 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:50:03 +0530] "GET /WebApp-01/IMG/status109.png HTTP/1.1" 200 66474
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:50:32 +0530] "GET /WebApp-01/imageInsert.jsp HTTP/1.1" 200 4661
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:57:34 +0530] "GET /WebApp-01/imageInsert.jsp HTTP/1.1" 200 4661
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:58:14 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:58:37 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=DRBA&filedate=2020-09-12&trxDate=2020-09-04&ViolType=NOR&NumNotice=3&violnumber=3 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:59:08 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:59:21 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:59:58 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8581
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:01:10 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8581
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:01:21 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:01:54 +0530] "GET /WebApp-01//buttonServlet?plate_state=NY&plate_number=SS66NJ2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:01:54 +0530] "GET /WebApp-01//buttonServlet?plate_state=NY&plate_number=SS66NJ1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:01:54 +0530] "GET /WebApp-01//buttonServlet?plate_state=NY&plate_number=SS66NJ3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:02:55 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8554
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:03:36 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:04:19 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8554
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:04:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:04:39 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:05:08 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8783
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:05:45 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:07:02 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:07:36 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8576
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:09:11 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7309
0:0:0:0:0:0:0:1 - - [21/Oct/2020:12:53:18 +0530] "GET /WebApp-01/imageInsert.jsp HTTP/1.1" 500 7629
