127.0.0.1 - - [01/Jun/2020:11:43:35 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:36 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:39 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:43:39 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:03 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:03 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:03 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:03 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:03 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:03 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:03 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:03 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:03 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:04 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:44:47 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJP2TST&agencyid=SJTA&filedate=2020-05-21&trxDate=2020-06-11&ViolType=NOR&NumNotice=6&violnumber=4 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:46:02 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 500 2662
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:50:23 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 500 2929
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:50:53 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:33 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:51:59 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:52:17 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:53:46 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:56:55 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:57:21 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJP2TST&agencyid=SJTA&filedate=2020-05-22&trxDate=2020-05-12&ViolType=NOR&NumNotice=6&violnumber=4 HTTP/1.1" 500 2582
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:57:59 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJP2TST&agencyid=SJTA&filedate=2020-05-22&trxDate=2020-05-12&ViolType=NOR&NumNotice=6&violnumber=4 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:58:45 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 500 2929
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:59:08 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [01/Jun/2020:11:59:30 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:00:18 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 17773
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:02:44 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 17770
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:03:02 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7067
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:03:43 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S42KP1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:03:47 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S42KP1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:03:51 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S42KP1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:03:54 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S42KP1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:03:58 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S42KP1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:04:00 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S42KP1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:05:11 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:05:17 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:05:17 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:05:17 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:05:17 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 17674
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:06:44 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:07:07 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 17674
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:07:21 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:07:45 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 17935
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:08:10 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6383
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:09:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:11:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 17726
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:12:03 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [01/Jun/2020:12:14:10 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6955
