127.0.0.1 - - [09/Nov/2020:17:59:48 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:13 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:14 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:17 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:00:43 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=SJTA&filedate=2020-10-16&trxDate=2020-10-05&ViolType=NOR&NumNotice=3&violnumber=4 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:01:14 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 500 2929
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:01:34 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:02:00 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:02:23 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10207
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:03:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10418
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:03:06 +0530] "GET /WebApp-01/IMG/status4.png HTTP/1.1" 200 37888
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:03:33 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:04:05 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SXAAD7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:04:09 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SXAAD7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:04:13 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SXAAD7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:05:04 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10370
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:05:04 +0530] "GET /WebApp-01/IMG/status5.png HTTP/1.1" 200 38195
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:05:32 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:05:54 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10370
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:05:54 +0530] "GET /WebApp-01/IMG/status6.png HTTP/1.1" 200 64324
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:06:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:06:46 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10609
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:06:46 +0530] "GET /WebApp-01/IMG/status159.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:07:08 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4808
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:07:08 +0530] "GET /WebApp-01/IMG/status7.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:07:46 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:08:08 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10398
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:08:08 +0530] "GET /WebApp-01/IMG/status131.png HTTP/1.1" 200 63837
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:08:52 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:08:52 +0530] "GET /WebApp-01/IMG/status109.png HTTP/1.1" 200 66474
