127.0.0.1 - - [04/Jun/2020:12:28:54 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:28:57 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:28:57 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:29:09 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:30:04 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJP2TST&agencyid=GSP&filedate=2020-05-15&trxDate=2020-05-10&ViolType=NOR&NumNotice=4&violnumber=4 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:30:46 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:31:49 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:32:33 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12867
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:32:44 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:35:21 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:35:52 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12867
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:35:59 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:36:33 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJP2TST&agencyid=GSP&filedate=2020-05-18&trxDate=2020-05-11&ViolType=NOR&NumNotice=4&violnumber=4 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:37:19 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:40:16 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:41:01 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12870
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:42:45 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12867
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:43:01 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6175
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:43:20 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SS34P1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:43:20 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SS34P4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:43:20 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SS34P2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:43:20 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SS34P3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:44:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12803
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:44:58 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:45:22 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12803
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:46:01 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:46:27 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 13044
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:46:52 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 9537
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:47:24 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:47:47 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12839
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:48:34 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:48:47 +0530] "GET /WebApp-01/imageInsert.jsp HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:49:35 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:51:46 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJP2TST&agencyid=SJTA&filedate=2020-05-23&trxDate=2020-05-14&ViolType=NOR&NumNotice=4&violnumber=4 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:52:13 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:55:48 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:56:16 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12867
0:0:0:0:0:0:0:1 - - [04/Jun/2020:12:57:02 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12867
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:00:04 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6175
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:01:04 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SV9PS1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:01:04 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SV9PS4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:01:04 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SV9PS3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:01:04 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SV9PS2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:02:00 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12803
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:02:34 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:03:09 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12803
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:03:47 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:04:19 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 13044
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:04:54 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 9541
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:05:44 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:06:09 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12839
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:06:58 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8642
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:08:14 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:08:51 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJP2TST&agencyid=CAPEMAY&filedate=2020-05-18&trxDate=2020-05-11&ViolType=NOR&NumNotice=4&violnumber=4 HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:09:27 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:11:39 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:12:30 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12867
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:13:31 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12867
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:13:47 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6175
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:14:13 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=AB37P4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:14:13 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=AB37P1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:14:13 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=AB37P2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:14:13 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=AB37P3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:15:20 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12803
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:16:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:16:34 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12803
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:17:09 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:17:36 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 13042
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:18:02 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 9537
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:18:35 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:19:46 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12839
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:20:42 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:56:33 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:57:12 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJP2TST&agencyid=NJTP&filedate=2020-05-23&trxDate=2020-05-11&ViolType=NOR&NumNotice=4&violnumber=5 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [04/Jun/2020:13:58:04 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
