127.0.0.1 - - [09/Apr/2020:15:36:33 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:34 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:37 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:36:37 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:19:16 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:19:16 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:19:41 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 125155
0:0:0:0:0:0:0:1 - - [09/Apr/2020:17:25:05 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [09/Apr/2020:17:26:29 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 42912
0:0:0:0:0:0:0:1 - - [09/Apr/2020:17:28:50 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 103754
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:05:40 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:06:09 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=SJTA&filedate=2020-03-27&trxDate=2020-03-15&ViolType=NOR&NumNotice=50&violnumber=4 HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:06:42 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:07:48 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:08:22 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125587
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:09:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125587
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:09:25 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27110
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA10 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA12 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA11 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:38 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA15 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:38 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA18 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:18:10:38 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=D9BA16 HTTP/1.1" 200 -
