127.0.0.1 - - [18/Feb/2020:13:00:33 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:34 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:49 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:49 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:49 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:49 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:50 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:50 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:50 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:50 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:51 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:51 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:00:51 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:01:00 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:01:33 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=GSP&filedate=2020-01-21&trxDate=2020-01-06&ViolType=NOR&NumNotice=50&violnumber=4 HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [18/Feb/2020:13:02:10 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
