127.0.0.1 - - [31/Mar/2020:11:28:31 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:28:33 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:28:34 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:28:35 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:28:36 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:29:15 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=GSP&filedate=2020-03-11&trxDate=2020-03-05&ViolType=NOR&NumNotice=2&violnumber=4 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:30:25 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:30:50 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:31:21 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:39:32 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7949
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:39:47 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:41:47 +0530] "GET /WebApp-01/getContactDetails.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:45:52 +0530] "GET /WebApp-01/getContactDetails.jsp?plateState=NJ&plateNumber=T22JZC&addresstype=MAILING HTTP/1.1" 200 4112
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:46:02 +0530] "GET /WebApp-01/getContactDetails.jsp?plateState=&plateNumber=&addresstype=VIOLADDR&plateState=NJ&plateNumber=T22JZC&lastname=MILLER&middlename=A&firstname=RAQUANIS&street1=52+GODWIN+ST&street2=APT+6A&city=PATERSON&state=NJ&zipcode=07501 HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:46:14 +0530] "GET /WebApp-01/getContactDetails.jsp?plateState=&plateNumber=&addresstype=MAILING HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:46:27 +0530] "GET /WebApp-01/getContactDetails.jsp?plateState=NJ&plateNumber=T22JZC&addresstype=MAILING HTTP/1.1" 200 4112
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:46:33 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T22JZC HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:46:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T22JZC HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:47:14 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7917
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:47:32 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:49:05 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7917
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:49:49 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:50:43 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8148
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:51:22 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:52:49 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:53:44 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7937
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:54:40 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4664
0:0:0:0:0:0:0:1 - - [31/Mar/2020:11:55:38 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [31/Mar/2020:12:03:59 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [31/Mar/2020:12:04:48 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5767
0:0:0:0:0:0:0:1 - - [31/Mar/2020:12:12:35 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 7928
0:0:0:0:0:0:0:1 - - [31/Mar/2020:12:13:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:39:59 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
