127.0.0.1 - - [10/Mar/2020:13:37:56 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:51 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P29 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:51 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P30 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:51 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P27 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:51 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P26 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:51 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P28 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:55 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P31 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:55 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P36 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:55 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P32 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:55 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P35 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:55 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P33 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:55 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P34 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P37 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P41 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P38 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P39 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P42 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P40 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:43:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P43 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:43:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P44 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:43:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P45 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:43:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P46 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:43:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P47 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:43:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P48 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:43:06 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P49 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:43:06 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P50 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:46:57 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 155417
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:47:27 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 28388
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:48:06 +0530] "GET /WebApp-01/IMG/status6.png HTTP/1.1" 200 64324
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:48:14 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 155417
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:48:33 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:48:54 +0530] "GET /WebApp-01/IMG/status159.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:49:02 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 156041
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:49:37 +0530] "GET /WebApp-01/IMG/status7.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:49:39 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 83184
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:52:39 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:26:54 +0530] "GET /WebApp-01/IMG/status131.png HTTP/1.1" 200 63837
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:27:01 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 155927
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:29:11 +0530] "GET /WebApp-01/IMG/status109.png HTTP/1.1" 200 66474
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:29:12 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 69447
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:30:51 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 53120
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:31:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 128569
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:42:16 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:44:21 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 105580
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:44:21 +0530] "GET /WebApp-01/IMG/status139.png HTTP/1.1" 200 67251
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:48:06 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 155927
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:48:44 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 155927
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:55:29 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 155927
0:0:0:0:0:0:0:1 - - [10/Mar/2020:14:56:05 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 105580
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:02:05 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 155927
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:04:33 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 155927
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:11:27 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 105580
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:15:42 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:16:15 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=GSP&filedate=2020-02-14&trxDate=2020-02-06&ViolType=NOR&NumNotice=50&violnumber=4 HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:17:12 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:17:23 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:17:50 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125587
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:18:39 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125587
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:18:52 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27110
