0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:43:06 +0530] "GET /WebApp-01/IMG/status6.png HTTP/1.1" 200 64324
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:43:22 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:43:42 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10609
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:43:43 +0530] "GET /WebApp-01/IMG/status159.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:44:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4812
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:44:06 +0530] "GET /WebApp-01/IMG/status7.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:44:38 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:45:00 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10398
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:45:00 +0530] "GET /WebApp-01/IMG/status131.png HTTP/1.1" 200 63837
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:45:45 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4669
0:0:0:0:0:0:0:1 - - [18/Nov/2020:14:45:45 +0530] "GET /WebApp-01/IMG/status109.png HTTP/1.1" 200 66474
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:01 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:03 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:03 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:49 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:49 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:50 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:51 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:51 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:51 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:51 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:51 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:51 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:51 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:51 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:51 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:45:52 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:46:17 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=SJTA&filedate=2020-10-13&trxDate=2020-10-07&ViolType=NOR&NumNotice=3&violnumber=4 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:46:38 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 500 2662
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:47:36 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:47:48 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:48:10 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10418
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:48:11 +0530] "GET /WebApp-01/IMG/status3.png HTTP/1.1" 200 63634
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:48:47 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10418
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:48:47 +0530] "GET /WebApp-01/IMG/status4.png HTTP/1.1" 200 37888
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:48:57 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:49:12 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=RH00YS HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:49:16 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=RH00YS HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:49:20 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=RH00YS HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:50:16 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10370
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:50:16 +0530] "GET /WebApp-01/IMG/status5.png HTTP/1.1" 200 38195
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:50:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:50:58 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10370
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:50:58 +0530] "GET /WebApp-01/IMG/status6.png HTTP/1.1" 200 64324
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:51:15 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:51:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10609
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:51:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10609
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:51:37 +0530] "GET /WebApp-01/IMG/status159.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:52:03 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4812
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:52:03 +0530] "GET /WebApp-01/IMG/status7.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:52:24 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:52:46 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10398
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:52:46 +0530] "GET /WebApp-01/IMG/status131.png HTTP/1.1" 200 63837
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:53:46 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4669
0:0:0:0:0:0:0:1 - - [18/Nov/2020:19:53:46 +0530] "GET /WebApp-01/IMG/status109.png HTTP/1.1" 200 66474
