127.0.0.1 - - [16/Apr/2020:14:03:00 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:02 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:03 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:03:03 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:05:16 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:05:16 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:06:03 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 125155
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:06:57 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 69371
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:29:52 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:30:24 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=DRJ&filedate=2020-03-25&trxDate=2020-03-04&ViolType=NOR&NumNotice=50&violnumber=5 HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:31:10 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:31:32 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:32:16 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 156444
0:0:0:0:0:0:0:1 - - [16/Apr/2020:14:33:17 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 156444
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:29:44 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27110
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
0:0:0:0:0:0:0:1 - - [16/Apr/2020:16:34:37 +0530] "GET null HTTP/1.1" 400 1996
